TrainingRowId,SourceProject,SourceRowId,Caller,CallerSignature,Callee,CalleeSignature,Line,MethodName,ManualLabel,AnnotationConfidence,AnnotationRationale
11,JPacman,367,nl.tudelft.jpacman.npc.ghost.NavigationTest#testShortestPathEmpty,nl.tudelft.jpacman.npc.ghost.NavigationTest#testShortestPathEmpty(),com.google.common.collect.Lists#newArrayList,com.google.common.collect.Lists#newArrayList(java.lang.String),56,newArrayList,Creational,High,"Source src/default-test/java/nl/tudelft/jpacman/npc/ghost/NavigationTest.java:56 shows ""Board b = parser.parseMap(Lists.newArrayList("" "")).getBoard();"". Label: Creational. The source call is used to create, build, or obtain a new object/value through factory-like naming or creation features. Selected feature evidence: MethodName=newArrayList, CalleeNameAction=CREATION, IsFactoryLikeCall=false, ReturnsNewProjectType=false, MethodNameStartsWithCreate=false, MethodNameStartsWithBuild=false, MethodNameStartsWithOf=false, MethodNameStartsWithFrom=false, CalleeBodySummary=UNRESOLVED."
12,PetClinic,594,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessUpdateFormHasErrors#testProcessUpdateFormWithInvalidBirthDate,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessUpdateFormHasErrors#testProcessUpdateFormWithInvalidBirthDate(),andExpect,andExpect(),187,andExpect,Validate/Guard,High,"Source src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:187 shows ""mockMvc"". Label: Validate/Guard. The source call is part of a test assertion or expectation chain, so the call checks that an observed value or HTTP result satisfies an expected condition. Selected feature evidence: MethodName=andExpect, CalleeNameAction=OTHER, ResultUsageKind=CHAINED, BooleanLikeCall=false, InvocationResultUsedInComparison=false, InvocationResultUsedInNullCheck=false."
13,Thunderbird,1013,com.fsck.k9.controller.MessagingController#clearFolder,"com.fsck.k9.controller.MessagingController#clearFolder(com.fsck.k9.Account,long)",com.fsck.k9.controller.MessagingController#putBackground,"com.fsck.k9.controller.MessagingController#putBackground(java.lang.String,com.fsck.k9.controller.MessagingListener,java.lang.Runnable)",2138,putBackground,Command/Mutate,High,"Source app/core/src/main/java/com/fsck/k9/controller/MessagingController.java:2138 shows ""putBackground(""clearFolder"", null, () ->"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=putBackground, CalleeNameAction=MUTATOR, IsVoidCall=true, MethodLooksMutator=false, CalleeLooksCommandMethod=true, CalleeBodySummary=NONE, PreviousStatementContainsMutation=false, FollowsStateMutationNearby=false."
14,JPacman,432,nl.tudelft.jpacman.npc.ghost.NavigationTest#testFullSizedLevel,nl.tudelft.jpacman.npc.ghost.NavigationTest#testFullSizedLevel(),assertThat,assertThat(nl.tudelft.jpacman.board.Unit),158,assertThat,Validate/Guard,High,"Source src/default-test/java/nl/tudelft/jpacman/npc/ghost/NavigationTest.java:158 shows ""assertThat(unit).isNotNull();"". Label: Validate/Guard. The source call is part of a test assertion or expectation chain, so the call checks that an observed value or HTTP result satisfies an expected condition. Selected feature evidence: MethodName=assertThat, CalleeNameAction=VALIDATOR, ResultUsageKind=CHAINED, BooleanLikeCall=false, InvocationResultUsedInComparison=false, InvocationResultUsedInNullCheck=false."
15,JPacman,148,nl.tudelft.jpacman.integration.StartupSystemTest#gameIsRunning,nl.tudelft.jpacman.integration.StartupSystemTest#gameIsRunning(),nl.tudelft.jpacman.integration.StartupSystemTest#getGame,nl.tudelft.jpacman.integration.StartupSystemTest#getGame(),42,getGame,Query/Retrieve,High,"Source src/default-test/java/nl/tudelft/jpacman/integration/StartupSystemTest.java:42 shows ""getGame().start();"". Label: Query/Retrieve. The source call retrieves or exposes information and its result is consumed without direct evidence of state mutation. Selected feature evidence: MethodName=getGame, NamePattern=query, CalleeNameAction=ACCESSOR, IsVoidCall=false, ReturnType=nl.tudelft.jpacman.game.Game, ResultUsageKind=CHAINED, MethodLooksAccessor=true, CalleeLooksQueryMethod=true, ReturnsBoolean=false, ReturnsCollection=false, ReturnsOptional=false."
16,Thunderbird,9067,com.fsck.k9.view.RecipientSelectView$Recipient#getDisplayNameOrUnknown,com.fsck.k9.view.RecipientSelectView$Recipient#getDisplayNameOrUnknown(android.content.Context),android.content.Context#getString,android.content.Context#getString(),744,getString,Query/Retrieve,High,"Source app/ui/legacy/src/main/java/com/fsck/k9/view/RecipientSelectView.java:744 shows ""return context.getString(R.string.unknown_recipient);"". Label: Query/Retrieve. The source call retrieves or exposes information and its result is consumed without direct evidence of state mutation. Selected feature evidence: MethodName=getString, NamePattern=query, CalleeNameAction=ACCESSOR, IsVoidCall=false, ReturnType=java.lang.String, ResultUsageKind=RETURNED, MethodLooksAccessor=true, CalleeLooksQueryMethod=true, ReturnsBoolean=false, ReturnsCollection=false, ReturnsOptional=false."
17,Thunderbird,8725,com.fsck.k9.view.MessageHeader#onFinishInflate,com.fsck.k9.view.MessageHeader#onFinishInflate(),android.widget.TextView#setOnLongClickListener,android.widget.TextView#setOnLongClickListener(com.fsck.k9.view.MessageHeader),102,setOnLongClickListener,Command/Mutate,High,"Source app/ui/legacy/src/main/java/com/fsck/k9/view/MessageHeader.java:102 shows ""subjectView.setOnLongClickListener(this);"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=setOnLongClickListener, CalleeNameAction=MUTATOR, IsVoidCall=true, MethodLooksMutator=true, CalleeLooksCommandMethod=true, CalleeBodySummary=UNRESOLVED, PreviousStatementContainsMutation=true, FollowsStateMutationNearby=true."
18,Thunderbird,4144,com.fsck.k9.message.extractors.AttachmentInfoExtractorTest#extractInfo__withDeferredFileBody,com.fsck.k9.message.extractors.AttachmentInfoExtractorTest#extractInfo__withDeferredFileBody(),Assert#assertEquals,"Assert#assertEquals(<unknown>,<unknown>)",215,assertEquals,Validate/Guard,High,"Source app/core/src/test/java/com/fsck/k9/message/extractors/AttachmentInfoExtractorTest.java:215 shows ""assertEquals(TEST_URI, attachmentViewInfo.internalUri);"". Label: Validate/Guard. The call-site invokes validation, checking, assertion, or error-registration behavior in the source code. Selected feature evidence: MethodName=assertEquals, CalleeNameAction=VALIDATOR, NameContainsValidate=false, NameContainsCheck=false, CalleeLooksValidatorMethod=true, ResultUsageKind=IGNORED."
19,PetClinic,441,org.springframework.samples.petclinic.owner.PetControllerTests#setup,org.springframework.samples.petclinic.owner.PetControllerTests#setup(),org.springframework.samples.petclinic.model.NamedEntity#setName,org.springframework.samples.petclinic.model.NamedEntity#setName(java.lang.String),71,setName,Command/Mutate,High,"Source src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:71 shows ""cat.setName(""hamster"");"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=setName, CalleeNameAction=MUTATOR, IsVoidCall=true, MethodLooksMutator=true, CalleeLooksCommandMethod=true, CalleeBodySummary=WRITES_FIELD|ASSIGNS_VARIABLE, PreviousStatementContainsMutation=true, FollowsStateMutationNearby=true."
20,PetClinic,469,org.springframework.samples.petclinic.owner.PetControllerTests#testProcessCreationFormSuccess,org.springframework.samples.petclinic.owner.PetControllerTests#testProcessCreationFormSuccess(),org.springframework.test.web.servlet.MockMvc#perform,org.springframework.test.web.servlet.MockMvc#perform(),96,perform,Control/Orchestrate,High,"Source src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:96 shows ""mockMvc"". Label: Control/Orchestrate. The call coordinates a framework, MVC, HTTP, or application flow rather than directly computing a local value. Selected feature evidence: MethodName=perform, CallerLayer=other, CalleeLayer=external, LayerRelation=other->external, ReceiverCategory=field, CallerMethodFanOut=8, CallerClassFanOut=10, InsideDelegationChain=false, HasChainedOrNestedDelegation=true."
21,PetClinic,427,org.springframework.samples.petclinic.owner.OwnerControllerTests#testProcessUpdateOwnerFormWithIdMismatch,org.springframework.samples.petclinic.owner.OwnerControllerTests#testProcessUpdateOwnerFormWithIdMismatch(),org.springframework.samples.petclinic.owner.OwnerRepository#findById,org.springframework.samples.petclinic.owner.OwnerRepository#findById(java.lang.Integer),243,findById,Query/Retrieve,High,"Source src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:243 shows ""when(owners.findById(pathOwnerId)).thenReturn(Optional.of(owner));"". Label: Query/Retrieve. The source call retrieves or exposes information and its result is consumed without direct evidence of state mutation. Selected feature evidence: MethodName=findById, NamePattern=query, CalleeNameAction=FINDER, IsVoidCall=false, ReturnType=java.util.Optional, ResultUsageKind=PASSED_AS_ARGUMENT, MethodLooksAccessor=true, CalleeLooksQueryMethod=true, ReturnsBoolean=false, ReturnsCollection=false, ReturnsOptional=true."
22,JPacman,30,nl.tudelft.jpacman.board.BoardFactoryTest#connectedSouth,nl.tudelft.jpacman.board.BoardFactoryTest#connectedSouth(),isEqualTo,isEqualTo(nl.tudelft.jpacman.board.Square),91,isEqualTo,Validate/Guard,High,"Source src/default-test/java/nl/tudelft/jpacman/board/BoardFactoryTest.java:91 shows ""assertThat(s1.getSquareAt(Direction.SOUTH)).isEqualTo(s2);"". Label: Validate/Guard. The source call is part of a test assertion or expectation chain, so the call checks that an observed value or HTTP result satisfies an expected condition. Selected feature evidence: MethodName=isEqualTo, CalleeNameAction=EXISTENCE_CHECK, ResultUsageKind=CHAINED, BooleanLikeCall=true, InvocationResultUsedInComparison=false, InvocationResultUsedInNullCheck=false."
23,Thunderbird,5006,com.fsck.k9.preferences.upgrader.GeneralSettingsUpgraderTo31#upgrade,com.fsck.k9.preferences.upgrader.GeneralSettingsUpgraderTo31#upgrade(java.util.Map),java.util.Map#put,"java.util.Map#put(java.lang.Object,java.lang.Object)",23,put,Command/Mutate,High,"Source app/core/src/main/java/com/fsck/k9/preferences/upgrader/GeneralSettingsUpgraderTo31.java:23 shows ""settings.put(""fontSizeMessageViewContentPercent"", newSize);"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=put, CalleeNameAction=MUTATOR, IsVoidCall=false, MethodLooksMutator=false, CalleeLooksCommandMethod=false, CalleeBodySummary=UNRESOLVED, PreviousStatementContainsMutation=false, FollowsStateMutationNearby=false."
24,PetClinic,758,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests#testTriggerExceptionHtml,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests#testTriggerExceptionHtml(),assertThat,assertThat(<unknown>),87,assertThat,Validate/Guard,High,"Source src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java:87 shows ""assertThat(resp.getBody()).containsSubsequence(""<body>"", ""<h2>"", ""Something happened..."", ""</h2>"", ""<p>"","". Label: Validate/Guard. The source call is part of a test assertion or expectation chain, so the call checks that an observed value or HTTP result satisfies an expected condition. Selected feature evidence: MethodName=assertThat, CalleeNameAction=VALIDATOR, ResultUsageKind=CHAINED, BooleanLikeCall=false, InvocationResultUsedInComparison=false, InvocationResultUsedInNullCheck=false."
25,PetClinic,276,org.springframework.samples.petclinic.owner.OwnerControllerTests#testProcessFindFormNoOwnersFound,org.springframework.samples.petclinic.owner.OwnerControllerTests#testProcessFindFormNoOwnersFound(),org.springframework.samples.petclinic.owner.OwnerRepository#findByLastNameStartingWith,"org.springframework.samples.petclinic.owner.OwnerRepository#findByLastNameStartingWith(java.lang.String,org.springframework.data.domain.Pageable)",161,findByLastNameStartingWith,Query/Retrieve,High,"Source src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:161 shows ""when(this.owners.findByLastNameStartingWith(eq(""Unknown Surname""), any(Pageable.class))).thenReturn(tasks);"". Label: Query/Retrieve. The source call retrieves or exposes information and its result is consumed without direct evidence of state mutation. Selected feature evidence: MethodName=findByLastNameStartingWith, NamePattern=query, CalleeNameAction=FINDER, IsVoidCall=false, ReturnType=org.springframework.data.domain.Page, ResultUsageKind=PASSED_AS_ARGUMENT, MethodLooksAccessor=true, CalleeLooksQueryMethod=true, ReturnsBoolean=false, ReturnsCollection=false, ReturnsOptional=false."
26,Thunderbird,1558,com.fsck.k9.crypto.openpgp.EncryptionDetectorTest#isEncrypted_withInlinePgp_shouldReturnTrue,com.fsck.k9.crypto.openpgp.EncryptionDetectorTest#isEncrypted_withInlinePgp_shouldReturnTrue(),com.fsck.k9.crypto.openpgp.MessageCreationHelper#createTextMessage,"com.fsck.k9.crypto.openpgp.MessageCreationHelper#createTextMessage(java.lang.String,java.lang.String)",69,createTextMessage,Creational,High,"Source app/crypto-openpgp/src/test/java/com/fsck/k9/crypto/openpgp/EncryptionDetectorTest.java:69 shows ""Message message = createTextMessage(""text/plain"", """" +"". Label: Creational. The source call is used to create, build, or obtain a new object/value through factory-like naming or creation features. Selected feature evidence: MethodName=createTextMessage, CalleeNameAction=CREATION, IsFactoryLikeCall=true, ReturnsNewProjectType=true, MethodNameStartsWithCreate=true, MethodNameStartsWithBuild=false, MethodNameStartsWithOf=false, MethodNameStartsWithFrom=false, CalleeBodySummary=RETURNS_VALUE."
27,JPacman,361,nl.tudelft.jpacman.level.PlayerFactory#createPacMan,nl.tudelft.jpacman.level.PlayerFactory#createPacMan(),nl.tudelft.jpacman.level.PlayerFactory#getSprites,nl.tudelft.jpacman.level.PlayerFactory#getSprites(),33,getSprites,Query/Retrieve,High,"Source src/main/java/nl/tudelft/jpacman/level/PlayerFactory.java:33 shows ""return new Player(getSprites().getPacmanSprites(), getSprites().getPacManDeathAnimation());"". Label: Query/Retrieve. The source call retrieves or exposes information and its result is consumed without direct evidence of state mutation. Selected feature evidence: MethodName=getSprites, NamePattern=query, CalleeNameAction=ACCESSOR, IsVoidCall=false, ReturnType=nl.tudelft.jpacman.sprite.PacManSprites, ResultUsageKind=RETURNED|PASSED_AS_ARGUMENT|CHAINED, MethodLooksAccessor=true, CalleeLooksQueryMethod=true, ReturnsBoolean=false, ReturnsCollection=false, ReturnsOptional=false."
28,Thunderbird,1869,com.fsck.k9.crypto.MessageCryptoStructureDetectorTest#findSigned__withComplexMultipartSigned__shouldReturnRoot,com.fsck.k9.crypto.MessageCryptoStructureDetectorTest#findSigned__withComplexMultipartSigned__shouldReturnRoot(),com.fsck.k9.crypto.MessageCryptoStructureDetector#findMultipartSignedParts,"com.fsck.k9.crypto.MessageCryptoStructureDetector#findMultipartSignedParts(com.fsck.k9.mail.Part,com.fsck.k9.mailstore.MessageCryptoAnnotations)",408,findMultipartSignedParts,Command/Mutate,High,"Source app/core/src/test/java/com/fsck/k9/crypto/MessageCryptoStructureDetectorTest.java:408 shows ""List<Part> signedParts = MessageCryptoStructureDetector"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=findMultipartSignedParts, CalleeNameAction=FINDER, IsVoidCall=false, MethodLooksMutator=false, CalleeLooksCommandMethod=false, CalleeBodySummary=ASSIGNS_VARIABLE|CALLS_MUTATOR|RETURNS_VALUE, PreviousStatementContainsMutation=false, FollowsStateMutationNearby=false."
29,PetClinic,1128,org.springframework.samples.petclinic.PetClinicIntegrationTests#testOwnerList,org.springframework.samples.petclinic.PetClinicIntegrationTests#testOwnerList(),build,build(),62,build,Compute/Transform,High,"Source src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java:62 shows ""ResponseEntity<String> result = template.exchange(RequestEntity.get(""/owners?lastName="").build(), String.class);"". Label: Compute/Transform. The source call derives, parses, formats, converts, streams, or transforms a value rather than primarily retrieving or mutating domain state. Selected feature evidence: MethodName=build, ComputeTransformNameHint=BUILD, CalleeNameAction=CREATION, ResultUsageKind=ASSIGNED|PASSED_AS_ARGUMENT|CHAINED, ReturnType=void, InvocationFeedsAnotherCall=true, HasNestedInvocationArg=false."
30,JPacman,233,nl.tudelft.jpacman.level.Level#addObserver,nl.tudelft.jpacman.level.Level#addObserver(nl.tudelft.jpacman.level.Level$LevelObserver),java.util.Set#add,java.util.Set#add(java.lang.Object),115,add,Command/Mutate,High,"Source src/main/java/nl/tudelft/jpacman/level/Level.java:115 shows ""observers.add(observer);"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=add, CalleeNameAction=MUTATOR, IsVoidCall=false, MethodLooksMutator=true, CalleeLooksCommandMethod=false, CalleeBodySummary=UNRESOLVED, PreviousStatementContainsMutation=false, FollowsStateMutationNearby=false."
31,PetClinic,102,org.springframework.samples.petclinic.owner.PetController#processCreationForm,"org.springframework.samples.petclinic.owner.PetController#processCreationForm(org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes)",java.time.LocalDate#now,java.time.LocalDate#now(),112,now,Query/Retrieve,High,"Source src/main/java/org/springframework/samples/petclinic/owner/PetController.java:112 shows ""LocalDate currentDate = LocalDate.now();"". Label: Query/Retrieve. The source call obtains the current date/time value from the library without mutating project state. Selected feature evidence: MethodName=now, ReturnType=java.time.LocalDate, IsVoidCall=false, ResultUsageKind=ASSIGNED, CalleeNameAction=OTHER, ReceiverCategory=static_type."
32,Thunderbird,1223,com.fsck.k9.controller.MessagingControllerTest#tearDown,com.fsck.k9.controller.MessagingControllerTest#tearDown(),com.fsck.k9.controller.MessagingController#stop,com.fsck.k9.controller.MessagingController#stop(),136,stop,Command/Mutate,High,"Source app/core/src/test/java/com/fsck/k9/controller/MessagingControllerTest.java:136 shows ""controller.stop();"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=stop, CalleeNameAction=OTHER, IsVoidCall=true, MethodLooksMutator=false, CalleeLooksCommandMethod=true, CalleeBodySummary=WRITES_FIELD|ASSIGNS_VARIABLE, PreviousStatementContainsMutation=true, FollowsStateMutationNearby=true."
33,JPacman,372,nl.tudelft.jpacman.npc.ghost.NavigationTest#testShortestPathEmpty,nl.tudelft.jpacman.npc.ghost.NavigationTest#testShortestPathEmpty(),isEmpty,isEmpty(),61,isEmpty,Validate/Guard,High,"Source src/default-test/java/nl/tudelft/jpacman/npc/ghost/NavigationTest.java:61 shows ""assertThat(path).isEmpty();"". Label: Validate/Guard. The source call is part of a test assertion or expectation chain, so the call checks that an observed value or HTTP result satisfies an expected condition. Selected feature evidence: MethodName=isEmpty, CalleeNameAction=EXISTENCE_CHECK, ResultUsageKind=CHAINED, BooleanLikeCall=true, InvocationResultUsedInComparison=false, InvocationResultUsedInNullCheck=false."
34,PetClinic,1101,org.springframework.samples.petclinic.PetClinicRuntimeHints#registerHints,"org.springframework.samples.petclinic.PetClinicRuntimeHints#registerHints(org.springframework.aot.hint.RuntimeHints,java.lang.ClassLoader)",registerType,registerType(java.lang.Class),34,registerType,Control/Orchestrate,High,"Source src/main/java/org/springframework/samples/petclinic/PetClinicRuntimeHints.java:34 shows ""hints.serialization().registerType(Vet.class);"". Label: Control/Orchestrate. The call coordinates a framework, MVC, HTTP, or application flow rather than directly computing a local value. Selected feature evidence: MethodName=registerType, CallerLayer=other, CalleeLayer=unknown, LayerRelation=other->unknown, ReceiverCategory=chained_call, CallerMethodFanOut=4, CallerClassFanOut=2, InsideDelegationChain=false, HasChainedOrNestedDelegation=true."
35,Thunderbird,6365,com.fsck.k9.activity.compose.RecipientLoader#fillCryptoStatusData,com.fsck.k9.activity.compose.RecipientLoader#fillCryptoStatusData(java.util.Map),com.fsck.k9.view.RecipientSelectView$Recipient#setCryptoStatus,com.fsck.k9.view.RecipientSelectView$Recipient#setCryptoStatus(com.fsck.k9.view.RecipientSelectView$RecipientCryptoStatus),532,setCryptoStatus,Command/Mutate,High,"Source app/ui/legacy/src/main/java/com/fsck/k9/activity/compose/RecipientLoader.java:532 shows ""recipient.setCryptoStatus(RecipientCryptoStatus.AVAILABLE_UNTRUSTED);"". Label: Command/Mutate. The source call changes object, collection, repository, or application state, which matches the command/mutate role. Selected feature evidence: MethodName=setCryptoStatus, CalleeNameAction=MUTATOR, IsVoidCall=true, MethodLooksMutator=true, CalleeLooksCommandMethod=true, CalleeBodySummary=WRITES_FIELD|ASSIGNS_VARIABLE, PreviousStatementContainsMutation=false, FollowsStateMutationNearby=false."
